                        Master List for Night Flight BBS

                                  17-Nov-1992

File Area : All Other IBM Files

CROSSWRD.ZIP   24k 25-Dec-89 Crossword Editor
2!JESTA        42k 09-Sep-92 >1< and his last...
2!OBSERV       25k 02-Sep-92 >3< A nice mag from dis group
2!VANDAL       43k 02-Sep-92 >2< ZIP File #02
3!COMA6        39k 02-Sep-92 >3< All 4 files will fit on the 1 side
3!JESTA        39k 09-Sep-92 >1< All 4 files will fit on 1 side
3!OBSERV       32k 02-Sep-92 >3< yeh,all 4 files will for on 1 side
3!VANDAL       40k 02-Sep-92 >2< ZIP File #03
4!COMA6        18k 02-Sep-92 >3< Last file for COMA LIGHT VI/Oxyron
4!JESTA        24k 09-Sep-92 >1< Last file for Jesta's spread disk
4!OBSERV       24k 02-Sep-92 >3< Last file of The Scene Observer #3
4!VANDAL       18k 02-Sep-92 >2< ZIP File #04
DIGI.LNX       72k 07-Oct-92 >00< Digital Madness demo. Good stuff.
FLIGHT.BBS      7k 15-Nov-92 A Quicky Night Flight Demo by Max Mix...
GRAFPAK.ARC    47k 10-Jul-87 >1< Not tested
INDEXER.MAG     3k 30-Nov-88 Not tested
INST1.LNX     146k 09-Sep-92 >1< 64 program instructions
LIZARD         19k 13-Mar-92 >1< I don't know what is about
LIZCUJO.DEM     9k 15-Feb-92 Graphic and sound demo
LOTTO41.ARK    39k 24-Sep-92 1541 lottocheck for the 64
LOTTO71.ARK    38k 24-Sep-92 1571 lottocheck for the 64
MADED2          8k 03-Mar-92 >1< mad eddie 2....
MADEDDIE        8k 03-Mar-92 Not tested
MAGNEZ         10k 13-Mar-92 >1< Another util.
MAILLIST.ARC    7k 08-Aug-87 Not tested
MAKEMENU.ARC    3k 18-Jul-87 Not tested
MARQUEE.PRG     4k 02-Dec-88 Not tested
MISERY.LNX    157k 12-Jun-92 >2< a cool mega demo by the CURE
MUSIC           5k 27-Apr-92 >2< Music player/TDU
MUSICMA        13k 31-May-92 >2< [00] Description Missing
MUSICPLA        9k 03-Mar-92 A music player
NEWDEMO.LNX   132k 01-May-92 >3< [00] Description Missing
NONAME.LNX     78k 28-Jul-92 >4< NO-NAME #01/TIME. A new and original mag
NTERM9-1.ARK  120k 27-Sep-92 >2< Novaterm9.1
PADUAWRI       33k 03-Mar-92 Not tested
PAINTBOX.LNX    5k 02-Dec-88 >1< Not tested
PHONLIST.ARC    3k 08-Aug-87 Keep a list of phone numbers
POPCORN.ARK    48k 05-Apr-92 >3< the new demo by HYPE australia
POWERWIN.DEM    7k 15-Feb-92 >3< Windows on the 64
PRINTPS.ARC     3k 03-Aug-87 Not tested
PSYCHO.LNX    152k 23-May-92 >1< psychotic/brutal the demo entered in the
RADDEMO.ARK    37k 15-Feb-92 A lot of small graphic and sound demos
REALTHIN.DEM   13k 15-Feb-92 Coke can demo
RINGWARS.DEM    7k 15-Feb-92 Not tested
SATURN.DEM     16k 15-Feb-92 >1< Graphic and sound demo
SEPULT.LNX    156k 16-Jun-92 >1< a demo suppied by phoenix
SOUNDWRI.TER   16k 15-Jul-92 >2< A music composer!
SPACE.DEM       9k 15-Feb-92 Graphic and sound demo
SPLIT.IMG       1k 08-Aug-87 Not tested
SSTOBAS.ARC     6k 18-Jul-87 Not tested
SSTOBSC.PRG     6k 23-Aug-87 Not tested
STATIC03       34k 03-Mar-92 >1< Magazine type graphics and text
STKTRACK.ARC    3k 12-Dec-88 Not tested
STRANGER.TX     2k 27-Apr-92 >1< Lyrics to Strangers/Hijack
TAIPAN.DEM     19k 15-Feb-92 Graphic and sound demo
TAURUS.DEM      3k 15-Feb-92 Graphic and sound demo
TERMINAT        8k 03-Mar-92 Graphic and sound demo
TFORMAT.PRG     2k 18-Jul-87 Not tested
