Z-NEWS.601    Newssheet from Echelon Inc.
Z-RIP.OBJ     ZCPR3 "Rapid Install Program"
Z-SIG.LBR     Info on special interest group in USA
Z3-WKBK.WS    Workbook for ZCPR3 installation
Z3INS13.OBJ   ZCPR3 installation program
Z3INSTP2.LBR  Installs Turbo Pascal programs from ZCPR3
Z3KEY14.LBR   Keyboard redefinition program (with source)
Z3KEYRCP.LBR  Same as above but without source code
Z3SAGE.LBR    Patches to ERROR and DU3
Z3YANC-2.LBR  Disk cataloguing program
Z80DIS21.LBR  An "intelligent" disassembler
ZAP.LBR       A debug/monitor program
ZAPN-1.LBR    Notes on ZCPR command shells
ZASLINK.ZEX   A ZEX script for ZAS assemble & link
ZASM.LBR      A Z80 macro assembler, outputs .HEX or .REL
ZBYE12Z.MAC   Communications supervisor for ZCPR3 systems
ZCPR3.WS      General overview of ZCPR3 features
ZCRCK.OBJ     CRCK/CHEK checksum generator for ZCPR3
ZDT.LBR       DDT with TDL-style Z80 instructions
ZEDFILE.LBR   A disk file sector editor
ZEX-SAGE.DZC  Notes on ZCPR3 command shells
ZEX31.LBR     Self-configuring version of ZEX
ZEXPTCH2.DZC  Makes ZEX work with XTRAKEY and XSCREEN
ZFINDU.OBJ    Searches squeezed/plain files for text
ZKYSB180.LBR  Keyboard redefinition for SB-180
ZLBR10.LBR    A LUX-lookalike for ZCPR3 - works under BYE
ZLDIR.OBJ     Library directory program for ZLBR/ZLUX
ZLUX24.LBR    Library command shell for ZCPR3
ZNODES37.LST  List of USA Z-STUFF distribution points
ZPATCHES.LBR  Patches to MAC, RMAC, WordStar, WordMaster
ZSYSP14.LBR   Make RO/SYS files in any user area PUBLIC
ZSYSTEM.IZS   List of all "current" Z-SYSTEM utilities
ZTYPEL.OBJ    TYPE file separate or in .LBR
ZWC.OBJ       WC word counting program for ZCPR3
